atm_name,transaction_date,No_Of_Withdrawals,no_of_cub_card_withdrawals,no_of_other_card_withdrawals,total_amount_withdrawn,amount_withdrawn_cub_card,amount_withdrawn_other_card,weekday,working_day
Christ College ATM,29/07/2012,62,29,33,242500,111400,131100,sunday,H
Big Street ATM,30/07/2012,29,10,19,89400,32100,57300,sunday,H
Mount Road ATM,30/07/2012,150,81,69,458500,310800,147700,sunday,H
Airport ATM,30/07/2012,103,85,18,587700,536500,51200,sunday,H
KK Nagar ATM,30/07/2012,256,203,53,1169400,955400,214000,sunday,H
Christ College ATM,30/07/2012,60,40,20,299100,243600,55500,sunday,H
Big Street ATM,31/07/2012,36,19,17,179800,133600,46200,sunday,H
Mount Road ATM,31/07/2012,175,93,82,517300,232100,285200,sunday,H
Airport ATM,31/07/2012,126,92,34,587800,441800,146000,sunday,H
KK Nagar ATM,31/07/2012,296,231,65,1525100,1281200,243900,sunday,H
Christ College ATM,31/07/2012,101,59,42,457100,275700,181400,sunday,H
Big Street ATM,01/08/2012,52,25,27,269000,179900,89100,sunday,H
Mount Road ATM,01/08/2012,195,95,100,695700,361300,334400,sunday,H
Airport ATM,01/08/2012,141,101,40,850900,662500,188400,sunday,H
KK Nagar ATM,01/08/2012,333,240,93,1630900,1170200,460700,sunday,H
Christ College ATM,01/08/2012,122,48,74,646000,252400,393600,sunday,H
Big Street ATM,02/08/2012,47,18,29,142300,51800,90500,sunday,H
Mount Road ATM,02/08/2012,223,106,117,887800,535300,352500,sunday,H
Airport ATM,02/08/2012,131,97,34,636300,504600,131700,sunday,H
KK Nagar ATM,02/08/2012,283,219,64,1254300,966900,287400,sunday,H
Christ College ATM,02/08/2012,87,35,52,352700,170400,182300,sunday,H
Big Street ATM,03/08/2012,56,20,36,220900,79900,141000,sunday,H
Mount Road ATM,03/08/2012,197,88,109,717700,416600,301100,sunday,H
Airport ATM,03/08/2012,108,82,26,554300,461400,92900,sunday,H
KK Nagar ATM,03/08/2012,282,222,60,1337000,1092300,244700,sunday,H
Christ College ATM,03/08/2012,99,49,50,519500,265600,253900,sunday,H
Big Street ATM,04/08/2012,60,13,47,268700,90400,178300,saturday,H
Mount Road ATM,04/08/2012,269,109,160,996100,606500,389600,saturday,H
Airport ATM,04/08/2012,131,105,26,708400,584700,123700,saturday,H
KK Nagar ATM,04/08/2012,305,230,75,1498100,1179800,318300,saturday,H
Christ College ATM,04/08/2012,79,37,42,367400,198700,168700,saturday,H
Big Street ATM,05/08/2012,48,16,32,112800,46100,66700,sunday,H
Mount Road ATM,05/08/2012,193,32,161,423900,122800,301100,sunday,H
Airport ATM,05/08/2012,145,110,35,700700,608100,92600,sunday,H
KK Nagar ATM,05/08/2012,162,120,42,572400,440500,131900,sunday,H
Christ College ATM,05/08/2012,115,37,78,406000,160000,246000,sunday,H
Big Street ATM,06/08/2012,44,9,35,142700,30300,112400,sunday,H
Mount Road ATM,06/08/2012,214,94,120,887100,483300,403800,sunday,H
Airport ATM,06/08/2012,135,90,45,658200,440700,217500,sunday,H
KK Nagar ATM,06/08/2012,315,243,72,1496900,1192300,304600,sunday,H
Christ College ATM,06/08/2012,124,50,74,634900,276500,358400,sunday,H
Big Street ATM,07/08/2012,48,23,25,176800,89300,87500,sunday,H
Mount Road ATM,07/08/2012,168,86,82,605300,356300,249000,sunday,H
Airport ATM,07/08/2012,112,85,27,647600,523000,124600,sunday,H
KK Nagar ATM,07/08/2012,237,184,53,1181700,939700,242000,sunday,H
Christ College ATM,07/08/2012,115,51,64,580000,336000,244000,sunday,H
Big Street ATM,08/08/2012,41,19,22,163800,120400,43400,sunday,H
Mount Road ATM,08/08/2012,184,99,85,556100,363400,192700,sunday,H
Airport ATM,08/08/2012,136,104,32,610800,494200,116600,sunday,H
KK Nagar ATM,08/08/2012,242,179,63,1119600,850800,268800,sunday,H
Christ College ATM,08/08/2012,149,68,81,592800,320000,272800,sunday,H
Big Street ATM,09/08/2012,49,24,25,170700,119600,51100,sunday,H
Mount Road ATM,09/08/2012,171,76,95,510900,238000,272900,sunday,H
Airport ATM,09/08/2012,118,83,35,583000,466900,116100,sunday,H
KK Nagar ATM,09/08/2012,210,133,77,815500,509500,306000,sunday,H
Christ College ATM,09/08/2012,93,48,45,342700,219200,123500,sunday,H
Big Street ATM,10/08/2012,31,17,14,119100,91400,27700,sunday,H
Mount Road ATM,10/08/2012,190,110,80,597100,395500,201600,sunday,H
Airport ATM,10/08/2012,125,92,33,550100,452500,97600,sunday,H
KK Nagar ATM,10/08/2012,242,187,55,1198300,974800,223500,sunday,H
Christ College ATM,10/08/2012,67,37,30,319300,237400,81900,sunday,H
Big Street ATM,11/08/2012,13,6,7,30300,10900,19400,saturday,H
Mount Road ATM,11/08/2012,218,88,130,709000,392300,316700,saturday,H
Airport ATM,11/08/2012,133,100,33,632000,486700,145300,saturday,H
KK Nagar ATM,11/08/2012,291,216,75,1293000,1014600,278400,saturday,H
Christ College ATM,11/08/2012,131,46,85,622200,245900,376300,saturday,H
Big Street ATM,12/08/2012,22,4,18,67500,3100,64400,sunday,H
Mount Road ATM,12/08/2012,147,25,122,214400,25500,188900,sunday,H
Airport ATM,12/08/2012,87,63,24,386500,327000,59500,sunday,H
KK Nagar ATM,12/08/2012,119,91,28,352300,267700,84600,sunday,H
Christ College ATM,12/08/2012,75,30,45,212100,94200,117900,sunday,H
Big Street ATM,13/08/2012,33,19,14,105600,61800,43800,sunday,H
Mount Road ATM,13/08/2012,173,92,81,667100,419400,247700,sunday,H
Airport ATM,13/08/2012,113,95,18,617800,556000,61800,sunday,H
KK Nagar ATM,13/08/2012,250,207,43,1246800,1045000,201800,sunday,H
Christ College ATM,13/08/2012,80,42,38,408200,218600,189600,sunday,H
Big Street ATM,14/08/2012,43,14,29,150500,58600,91900,sunday,H
Mount Road ATM,14/08/2012,187,113,74,547500,369400,178100,sunday,H
Airport ATM,14/08/2012,124,88,36,660700,508800,151900,sunday,H
KK Nagar ATM,14/08/2012,204,166,38,855200,705400,149800,sunday,H
Christ College ATM,14/08/2012,90,37,53,319800,131700,188100,sunday,H
Big Street ATM,15/08/2012,54,16,38,200700,85100,115600,wednesday,H
Mount Road ATM,15/08/2012,169,34,135,422900,155800,267100,wednesday,H
Airport ATM,15/08/2012,82,65,17,542600,510800,31800,wednesday,H
KK Nagar ATM,15/08/2012,172,108,64,668300,414700,253600,wednesday,H
Christ College ATM,15/08/2012,79,39,40,302400,163000,139400,wednesday,H
Big Street ATM,16/08/2012,52,20,32,178900,92100,86800,wednesday,H
Mount Road ATM,16/08/2012,145,75,70,647900,459200,188700,wednesday,H
Airport ATM,16/08/2012,132,105,27,702600,611100,91500,wednesday,H
KK Nagar ATM,16/08/2012,286,218,68,1060700,801200,259500,wednesday,H
Christ College ATM,16/08/2012,85,53,32,448500,333900,114600,wednesday,H
Big Street ATM,17/08/2012,35,24,11,80400,53400,27000,wednesday,H
Mount Road ATM,17/08/2012,177,91,86,635700,417300,218400,wednesday,H
Airport ATM,17/08/2012,94,71,23,502800,429400,73400,wednesday,H
KK Nagar ATM,17/08/2012,274,201,73,1052800,763600,289200,wednesday,H
Christ College ATM,17/08/2012,116,74,42,637800,442000,195800,wednesday,H
Mount Road ATM,18/08/2012,233,107,126,709600,448300,261300,saturday,H
Airport ATM,18/08/2012,118,90,28,531900,423100,108800,saturday,H
KK Nagar ATM,18/08/2012,223,169,54,747500,533800,213700,saturday,H
Christ College ATM,18/08/2012,100,56,44,403800,282400,121400,saturday,H
Big Street ATM,19/08/2012,37,14,23,137000,67300,69700,sunday,H
Mount Road ATM,19/08/2012,1,0,1,3500,0,3500,sunday,H
Airport ATM,19/08/2012,50,45,5,176600,144600,32000,sunday,H
KK Nagar ATM,19/08/2012,120,75,45,512000,316200,195800,sunday,H
Christ College ATM,19/08/2012,50,18,32,157900,86200,71700,sunday,H
Big Street ATM,20/08/2012,55,17,38,157900,85500,72400,monday,H
Airport ATM,20/08/2012,73,56,17,396900,341000,55900,monday,H
KK Nagar ATM,20/08/2012,277,159,118,1093400,628500,464900,monday,H
Christ College ATM,20/08/2012,67,28,39,291500,132300,159200,monday,H
Big Street ATM,21/08/2012,16,7,9,8200,4800,3400,monday,H
Mount Road ATM,21/08/2012,77,45,32,263300,181200,82100,monday,H
Airport ATM,21/08/2012,113,99,14,600600,571800,28800,monday,H
KK Nagar ATM,21/08/2012,273,197,76,1225500,974800,250700,monday,H
Christ College ATM,21/08/2012,95,58,37,426400,324000,102400,monday,H
Big Street ATM,22/08/2012,48,26,22,164400,122000,42400,monday,H
Mount Road ATM,22/08/2012,129,68,61,491400,277600,213800,monday,H
Airport ATM,22/08/2012,92,72,20,447600,398900,48700,monday,H
KK Nagar ATM,22/08/2012,246,158,88,1083600,726800,356800,monday,H
Christ College ATM,22/08/2012,82,49,33,314600,235900,78700,monday,H
Big Street ATM,23/08/2012,41,20,21,136900,76100,60800,monday,H
Mount Road ATM,23/08/2012,122,63,59,490100,320900,169200,monday,H
Airport ATM,23/08/2012,74,55,19,268300,234300,34000,monday,H
KK Nagar ATM,23/08/2012,200,155,45,780300,653400,126900,monday,H
Christ College ATM,23/08/2012,93,40,53,383800,251200,132600,monday,H
Big Street ATM,24/08/2012,53,34,19,201100,183100,18000,monday,H
Mount Road ATM,24/08/2012,145,76,69,474200,313200,161000,monday,H
Airport ATM,24/08/2012,100,85,15,586000,542800,43200,monday,H
KK Nagar ATM,24/08/2012,179,138,41,729500,616400,113100,monday,H
Christ College ATM,24/08/2012,111,64,47,540800,418300,122500,monday,H
Big Street ATM,25/08/2012,56,25,31,210600,143400,67200,saturday,H
Mount Road ATM,25/08/2012,170,82,88,719900,481500,238400,saturday,H
Airport ATM,25/08/2012,131,102,29,778700,713700,65000,saturday,H
KK Nagar ATM,25/08/2012,270,215,55,1156000,989400,166600,saturday,H
Christ College ATM,25/08/2012,99,52,47,343100,203500,139600,saturday,H
Big Street ATM,26/08/2012,54,20,34,152000,114200,37800,sunday,H
Mount Road ATM,26/08/2012,111,34,77,266300,158600,107700,sunday,H
Airport ATM,26/08/2012,83,61,22,444000,368200,75800,sunday,H
KK Nagar ATM,26/08/2012,97,78,19,322800,245100,77700,sunday,H
Christ College ATM,26/08/2012,89,29,60,243900,95900,148000,sunday,H
Big Street ATM,27/08/2012,42,13,29,134100,37600,96500,sunday,H
Mount Road ATM,27/08/2012,174,93,81,575200,353300,221900,sunday,H
Airport ATM,27/08/2012,86,64,22,360500,280600,79900,sunday,H
KK Nagar ATM,27/08/2012,264,211,53,1110500,865300,245200,sunday,H
Christ College ATM,27/08/2012,95,52,43,433600,264400,169200,sunday,H
Big Street ATM,28/08/2012,34,9,25,105700,52500,53200,sunday,H
Mount Road ATM,28/08/2012,148,77,71,403400,229600,173800,sunday,H
Airport ATM,28/08/2012,93,69,24,425600,357400,68200,sunday,H
KK Nagar ATM,28/08/2012,224,175,49,700700,559200,141500,sunday,H
Christ College ATM,28/08/2012,100,41,59,418500,198300,220200,sunday,H
Big Street ATM,29/08/2012,34,16,18,154000,105700,48300,sunday,H
Mount Road ATM,29/08/2012,147,75,72,435800,254100,181700,sunday,H
Airport ATM,29/08/2012,79,62,17,354700,287800,66900,sunday,H
KK Nagar ATM,29/08/2012,236,174,62,792800,611100,181700,sunday,H
Christ College ATM,29/08/2012,91,34,57,414900,174000,240900,sunday,H
Big Street ATM,30/08/2012,40,16,24,137900,80500,57400,sunday,H
Mount Road ATM,30/08/2012,160,81,79,483900,267600,216300,sunday,H
Airport ATM,30/08/2012,97,70,27,390400,332000,58400,sunday,H
KK Nagar ATM,30/08/2012,196,148,48,874600,661100,213500,sunday,H
Christ College ATM,30/08/2012,106,39,67,412400,166700,245700,sunday,H
Big Street ATM,31/08/2012,59,19,40,146900,68700,78200,sunday,H
Mount Road ATM,31/08/2012,194,89,105,693100,432400,260700,sunday,H
Airport ATM,31/08/2012,125,98,27,606200,526400,79800,sunday,H
KK Nagar ATM,31/08/2012,251,199,52,1095200,859700,235500,sunday,H
Christ College ATM,31/08/2012,110,53,57,473900,289900,184000,sunday,H
Big Street ATM,01/09/2012,62,13,49,216400,51100,165300,saturday,H
Mount Road ATM,01/09/2012,276,129,147,1229000,721400,507600,saturday,H
Airport ATM,01/09/2012,172,123,49,878300,655700,222600,saturday,H
KK Nagar ATM,01/09/2012,414,254,160,2169400,1252200,917200,saturday,H
Christ College ATM,01/09/2012,134,64,70,768100,397200,370900,saturday,H
Big Street ATM,02/09/2012,95,19,76,365100,109300,255800,sunday,H
Mount Road ATM,02/09/2012,150,30,120,340000,99000,241000,sunday,H
Airport ATM,02/09/2012,71,46,25,346000,267400,78600,sunday,H
KK Nagar ATM,02/09/2012,197,113,84,819700,458700,361000,sunday,H
Christ College ATM,02/09/2012,136,37,99,555700,183000,372700,sunday,H
Big Street ATM,03/09/2012,62,10,52,187100,44000,143100,sunday,H
Mount Road ATM,03/09/2012,214,101,113,927800,590300,337500,sunday,H
Airport ATM,03/09/2012,104,86,18,574600,535200,39400,sunday,H
KK Nagar ATM,03/09/2012,330,244,86,1707100,1319500,387600,sunday,H
Christ College ATM,03/09/2012,124,58,66,554700,301800,252900,sunday,H
Big Street ATM,04/09/2012,48,17,31,245200,109700,135500,sunday,H
Mount Road ATM,04/09/2012,219,115,104,846300,506800,339500,sunday,H
Airport ATM,04/09/2012,133,105,28,791800,671400,120400,sunday,H
KK Nagar ATM,04/09/2012,252,196,56,1127100,883800,243300,sunday,H
Christ College ATM,04/09/2012,114,52,62,718900,407400,311500,sunday,H
Big Street ATM,05/09/2012,65,26,39,274900,145700,129200,sunday,H
Mount Road ATM,05/09/2012,223,131,92,1003600,719900,283700,sunday,H
Airport ATM,05/09/2012,111,80,31,540500,434800,105700,sunday,H
KK Nagar ATM,05/09/2012,314,250,64,1449600,1192200,257400,sunday,H
Christ College ATM,05/09/2012,118,58,60,648500,373300,275200,sunday,H
Big Street ATM,06/09/2012,68,21,47,193400,73300,120100,sunday,H
Mount Road ATM,06/09/2012,205,110,95,798700,558400,240300,sunday,H
Airport ATM,06/09/2012,102,77,25,557200,445700,111500,sunday,H
KK Nagar ATM,06/09/2012,257,191,66,1099200,868300,230900,sunday,H
Christ College ATM,06/09/2012,113,60,53,563900,367700,196200,sunday,H
Big Street ATM,07/09/2012,76,28,48,368700,169800,198900,sunday,H
Mount Road ATM,07/09/2012,187,99,88,669600,399200,270400,sunday,H
Airport ATM,07/09/2012,124,81,43,538300,412600,125700,sunday,H
KK Nagar ATM,07/09/2012,212,157,55,808400,563000,245400,sunday,H
Christ College ATM,07/09/2012,122,64,58,556800,327200,229600,sunday,H
Big Street ATM,08/09/2012,79,25,54,315100,126000,189100,saturday,H
Mount Road ATM,08/09/2012,256,104,152,786300,447300,339000,saturday,H
Airport ATM,08/09/2012,90,67,23,409700,318500,91200,saturday,H
KK Nagar ATM,08/09/2012,275,213,62,1053900,825800,228100,saturday,H
Christ College ATM,08/09/2012,128,55,73,679300,375600,303700,saturday,H
Big Street ATM,09/09/2012,97,30,67,303100,146700,156400,sunday,H
Mount Road ATM,09/09/2012,198,56,142,401100,177600,223500,sunday,H
Airport ATM,09/09/2012,76,52,24,254300,217100,37200,sunday,H
KK Nagar ATM,09/09/2012,121,83,38,537700,381600,156100,sunday,H
Christ College ATM,09/09/2012,140,35,105,430500,129500,301000,sunday,H
Big Street ATM,10/09/2012,61,26,35,182900,103700,79200,sunday,H
Mount Road ATM,10/09/2012,145,67,78,471700,290700,181000,sunday,H
Airport ATM,10/09/2012,131,98,33,695800,595600,100200,sunday,H
KK Nagar ATM,10/09/2012,254,202,52,1182500,1000600,181900,sunday,H
Christ College ATM,10/09/2012,108,47,61,463600,235900,227700,sunday,H
Big Street ATM,11/09/2012,64,20,44,202800,68200,134600,sunday,H
Mount Road ATM,11/09/2012,201,113,88,650300,479800,170500,sunday,H
Airport ATM,11/09/2012,136,93,43,671500,527000,144500,sunday,H
KK Nagar ATM,11/09/2012,235,200,35,1163300,1030600,132700,sunday,H
Christ College ATM,11/09/2012,131,40,91,654600,245700,408900,sunday,H
Big Street ATM,12/09/2012,94,27,67,419700,155300,264400,sunday,H
Mount Road ATM,12/09/2012,159,88,71,600200,420500,179700,sunday,H
Airport ATM,12/09/2012,101,84,17,451700,397600,54100,sunday,H
KK Nagar ATM,12/09/2012,232,183,49,1040300,849300,191000,sunday,H
Christ College ATM,12/09/2012,123,39,84,503600,176300,327300,sunday,H
Big Street ATM,13/09/2012,89,35,54,344100,199100,145000,sunday,H
Mount Road ATM,13/09/2012,122,86,36,421100,329800,91300,sunday,H
Airport ATM,13/09/2012,92,73,19,455500,414000,41500,sunday,H
KK Nagar ATM,13/09/2012,223,171,52,1112900,891600,221300,sunday,H
Christ College ATM,13/09/2012,120,61,59,569200,389700,179500,sunday,H
Big Street ATM,14/09/2012,86,36,50,322400,198100,124300,sunday,H
Mount Road ATM,14/09/2012,199,98,101,767600,523800,243800,sunday,H
Airport ATM,14/09/2012,96,79,17,624200,572900,51300,sunday,H
KK Nagar ATM,14/09/2012,222,171,51,899800,710900,188900,sunday,H
Christ College ATM,14/09/2012,97,48,49,472300,269700,202600,sunday,H
Big Street ATM,15/09/2012,96,21,75,217400,54700,162700,saturday,H
Mount Road ATM,15/09/2012,224,83,141,820800,492800,328000,saturday,H
Airport ATM,15/09/2012,126,82,44,589800,457100,132700,saturday,H
KK Nagar ATM,15/09/2012,213,163,50,825600,603100,222500,saturday,H
Christ College ATM,15/09/2012,106,58,48,441500,264900,176600,saturday,H
Big Street ATM,16/09/2012,112,30,82,373100,156300,216800,sunday,H
Mount Road ATM,16/09/2012,144,40,104,366700,188900,177800,sunday,H
Airport ATM,16/09/2012,88,65,23,345100,318400,26700,sunday,H
KK Nagar ATM,16/09/2012,123,100,23,356900,312700,44200,sunday,H
Christ College ATM,16/09/2012,129,43,86,442800,261200,181600,sunday,H
Big Street ATM,17/09/2012,90,27,63,343000,108400,234600,sunday,H
Mount Road ATM,17/09/2012,202,114,88,597500,425900,171600,sunday,H
Airport ATM,17/09/2012,117,88,29,544900,460300,84600,sunday,H
KK Nagar ATM,17/09/2012,276,212,64,1123900,945600,178300,sunday,H
Christ College ATM,17/09/2012,87,35,52,337400,209600,127800,sunday,H
Big Street ATM,18/09/2012,89,31,58,321000,159400,161600,sunday,H
Mount Road ATM,18/09/2012,161,87,74,551200,339400,211800,sunday,H
Airport ATM,18/09/2012,109,82,27,502800,412800,90000,sunday,H
KK Nagar ATM,18/09/2012,262,210,52,1023500,790700,232800,sunday,H
Christ College ATM,18/09/2012,109,43,66,386300,210200,176100,sunday,H
Big Street ATM,19/09/2012,91,28,63,219700,95500,124200,wednesday,H
Mount Road ATM,19/09/2012,142,42,100,430300,218400,211900,wednesday,H
Airport ATM,19/09/2012,44,29,15,217100,187300,29800,wednesday,H
KK Nagar ATM,19/09/2012,189,111,78,715500,444000,271500,wednesday,H
Christ College ATM,19/09/2012,116,33,83,368300,132800,235500,wednesday,H
Big Street ATM,20/09/2012,87,37,50,237300,146200,91100,wednesday,H
Mount Road ATM,20/09/2012,130,79,51,443900,292100,151800,wednesday,H
Airport ATM,20/09/2012,100,65,35,469200,345000,124200,wednesday,H
KK Nagar ATM,20/09/2012,188,153,35,786000,662700,123300,wednesday,H
Christ College ATM,20/09/2012,109,40,69,342400,129500,212900,wednesday,H
Big Street ATM,21/09/2012,63,24,39,216300,116900,99400,wednesday,H
Mount Road ATM,21/09/2012,165,91,74,491800,319700,172100,wednesday,H
Airport ATM,21/09/2012,90,69,21,545800,486300,59500,wednesday,H
KK Nagar ATM,21/09/2012,245,196,49,1033900,861100,172800,wednesday,H
Christ College ATM,21/09/2012,144,46,98,447100,146600,300500,wednesday,H
Big Street ATM,22/09/2012,69,20,49,130200,33300,96900,saturday,H
Mount Road ATM,22/09/2012,223,121,102,784900,551500,233400,saturday,H
Airport ATM,22/09/2012,97,78,19,546000,490300,55700,saturday,H
KK Nagar ATM,22/09/2012,250,185,65,947100,715500,231600,saturday,H
Christ College ATM,22/09/2012,125,56,69,612100,333100,279000,saturday,H
Big Street ATM,23/09/2012,72,21,51,179500,80800,98700,sunday,H
Mount Road ATM,23/09/2012,134,34,100,290900,61400,229500,sunday,H
Airport ATM,23/09/2012,96,61,35,232500,171600,60900,sunday,H
KK Nagar ATM,23/09/2012,102,71,31,350100,278400,71700,sunday,H
Christ College ATM,23/09/2012,88,39,49,301200,178700,122500,sunday,H
Big Street ATM,24/09/2012,66,26,40,148000,60900,87100,sunday,H
Mount Road ATM,24/09/2012,163,84,79,531400,327500,203900,sunday,H
Airport ATM,24/09/2012,128,96,32,503400,441200,62200,sunday,H
KK Nagar ATM,24/09/2012,229,172,57,990400,812300,178100,sunday,H
Christ College ATM,24/09/2012,99,54,45,442000,283900,158100,sunday,H
Big Street ATM,25/09/2012,76,25,51,256500,96700,159800,sunday,H
Mount Road ATM,25/09/2012,155,76,79,473400,263100,210300,sunday,H
Airport ATM,25/09/2012,98,79,19,391900,356700,35200,sunday,H
KK Nagar ATM,25/09/2012,248,183,65,1024300,784200,240100,sunday,H
Christ College ATM,25/09/2012,78,34,44,320300,170300,150000,sunday,H
Big Street ATM,26/09/2012,80,31,49,296200,166500,129700,sunday,H
Mount Road ATM,26/09/2012,168,97,71,480400,317000,163400,sunday,H
Airport ATM,26/09/2012,102,75,27,484200,400200,84000,sunday,H
KK Nagar ATM,26/09/2012,215,163,52,752100,587700,164400,sunday,H
Christ College ATM,26/09/2012,74,42,32,320200,221000,99200,sunday,H
Big Street ATM,27/09/2012,86,27,59,255000,107100,147900,sunday,H
Mount Road ATM,27/09/2012,167,104,63,509200,376800,132400,sunday,H
Airport ATM,27/09/2012,109,79,30,454000,401100,52900,sunday,H
KK Nagar ATM,27/09/2012,229,171,58,825000,639400,185600,sunday,H
Christ College ATM,27/09/2012,108,35,73,394800,158900,235900,sunday,H
Big Street ATM,28/09/2012,76,18,58,185700,65300,120400,sunday,H
Mount Road ATM,28/09/2012,111,65,46,263600,159900,103700,sunday,H
Airport ATM,28/09/2012,98,67,31,536900,412600,124300,sunday,H
KK Nagar ATM,28/09/2012,278,208,70,1239900,991900,248000,sunday,H
Christ College ATM,28/09/2012,154,40,114,696200,248000,448200,sunday,H
Big Street ATM,29/09/2012,55,25,30,167500,111900,55600,saturday,H
